asset,shock,mode,family,level,tvl_initial,tvl_final,total_liquidations,total_liquidated_value_usd,final_bad_debt_usd,liquidation_efficiency
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.4,Agent,ltv_targeted,-0.15,57909688.533039026,57909688.533039026,107,4121324.092077509,2488277.428202991,0.2135965192118114
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.375,Agent,ltv_targeted,-0.15,60324355.46082708,60324355.46082708,105,4508772.367482305,2187637.560227282,0.259756268359368
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.35,Agent,ltv_targeted,-0.15,63061666.331546456,63061666.331546456,98,4723711.762769631,1860941.2175802037,0.31769840415656975
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.325,Agent,ltv_targeted,-0.15,65809474.338959664,65809474.338959664,95,4994585.266404416,1591892.2180343594,0.3491295634984398
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.3,Agent,ltv_targeted,-0.15,69603356.32834971,69603356.32834971,89,4326132.386540739,1340174.2081525798,0.41925758001615226
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.275,Agent,ltv_targeted,-0.15,72579559.83026174,72579559.83026174,81,4632177.18695039,1055715.593618047,0.5214710352844845
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.25,Agent,ltv_targeted,-0.15,76211439.96056087,76211439.96056087,76,4343543.697847456,834337.228351463,0.616880900824171
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.225,Agent,ltv_targeted,-0.15,79749385.9233394,79749385.9233394,68,4281233.897144596,604647.9303479035,0.8014204485878101
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.2,Agent,ltv_targeted,-0.15,83619072.75287788,83619072.75287788,59,3994824.0510406164,391396.3991279964,1.0920786602695507
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.175,Agent,ltv_targeted,-0.15,87878787.12243381,87878787.12243381,48,3411403.2420179006,209206.87895184272,1.69685076644472
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.15,Agent,ltv_targeted,-0.15,91655074.22314124,91655074.22314124,40,3415939.2304752003,46566.41828673621,5.367677166790687
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.125,Agent,ltv_targeted,-0.15,96994876.55279347,96994876.55279347,30,1859929.9785810423,5034.557170770188,22.901822113642616
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.1,Agent,ltv_targeted,-0.15,101280315.08893584,101280315.08893584,23,1444555.5435784555,1310.2608155577623,57.996647579217
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.075,Agent,ltv_targeted,-0.15,106136110.48992476,106136110.48992476,13,580488.7963321797,0.0,1.0
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.05,Agent,ltv_targeted,-0.15,110813779.73643012,110813779.73643012,6,17315.02196561111,1.5089307637383857,96.05433568921441
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.025,Agent,ltv_targeted,-0.15,115068815.16093105,115068815.16093105,2,847.4889020535034,9.18670544247448,4.252288374369536
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.4,Agent,ltv_targeted,-0.15,118557204.13206457,118557204.13206457,3,852.9563907641991,11.156875256466316,2.332081284385038
