asset,shock,mode,family,level,tvl_initial,tvl_final,total_liquidations,total_liquidated_value_usd,final_bad_debt_usd,liquidation_efficiency
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.4,Agent,ltv_targeted,+0.10,57912568.71706069,57912568.71706069,105,4118445.747298191,2488275.5889606364,0.21344929582833452
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.375,Agent,ltv_targeted,+0.10,60327577.72119053,60327577.72119053,104,4506148.322674017,2187039.344672112,0.2594781402962726
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.35,Agent,ltv_targeted,+0.10,63072106.79313255,63072106.79313255,93,4714177.17038242,1860035.3483813095,0.31679985740872074
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.325,Agent,ltv_targeted,+0.10,65834759.04605735,65834759.04605735,87,4978962.897202428,1582229.8801386573,0.34387434639276254
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.3,Agent,ltv_targeted,+0.10,69816789.24567996,69816789.24567996,78,4128625.041245132,1324248.6361179464,0.40390585217943925
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.275,Agent,ltv_targeted,+0.10,72826219.31780711,72826219.31780711,72,4392055.721952735,1049177.5710703311,0.4948226950514449
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.25,Agent,ltv_targeted,+0.10,76477191.11736546,76477191.11736546,69,4096675.4023311613,815454.3670631353,0.569295533176898
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.225,Agent,ltv_targeted,+0.10,80094879.39325,80094879.39325,57,3977614.321527522,562774.0360543741,0.7207374385911132
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.2,Agent,ltv_targeted,+0.10,84177062.14857039,84177062.14857039,47,3472514.297970963,355716.7565051579,0.9396878721399092
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.175,Agent,ltv_targeted,+0.10,88857360.85145047,88857360.85145047,35,2485943.159751185,156093.23220192504,1.4520002330034019
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.15,Agent,ltv_targeted,+0.10,92699804.48011912,92699804.48011912,25,2395943.9717435227,21831.42004053723,6.45039413903635
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.125,Agent,ltv_targeted,+0.10,97962352.54411247,97962352.54411247,19,892728.0981454737,4760.446287341067,6.467082089254254
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.1,Agent,ltv_targeted,+0.10,101865590.74178058,101865590.74178058,14,859294.8589873039,1295.2925619814066,8.6294837166859
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.075,Agent,ltv_targeted,+0.10,106680821.57578386,106680821.57578386,6,35777.71047307944,0.0,1.0
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.05,Agent,ltv_targeted,+0.10,110814184.94057356,110814184.94057356,3,16909.81782218103,1.5089307637383857,67.23345547295919
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.025,Agent,ltv_targeted,+0.10,115069199.10980041,115069199.10980041,1,463.5400327038099,9.18670544247448,1.7435468246003967
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.4,Agent,ltv_targeted,+0.10,118557573.58364384,118557573.58364384,2,483.50481149712516,11.156875256466316,1.5657574374413024
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.375,Agent,ltv_targeted,+0.10,118611984.67540513,118611984.67540513,2,483.8698735344568,11.53292527109561,1.5310022654804871
