asset,shock,family,level,d_liquidated_usd,d_bad_debt_usd,d_liqs
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.4,ltv_targeted,+0.10,8.994294330477715e-05,-1.8392423545010388,0
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.375,ltv_targeted,+0.10,2.177293281070888,-596.322665722575,0
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.35,ltv_targeted,+0.10,-9098.534137055278,-665.1214291700162,-5
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.325,ltv_targeted,+0.10,-5758.3836301406845,-9421.256550345104,-3
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.3,ltv_targeted,+0.10,-182204.3132102969,-10796.016552548157,-3
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.275,ltv_targeted,+0.10,-217558.43408783432,-1564.9716469158884,-4
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.25,ltv_targeted,+0.10,-37346.13948520785,-18604.595239845337,-3
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.225,ltv_targeted,+0.10,-69555.95876324456,-30507.834050813923,-5
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.2,ltv_targeted,+0.10,-446867.55448328424,-28153.710270147945,-8
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.175,ltv_targeted,+0.10,-440548.41242069146,-40898.05876701011,-5
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.15,ltv_targeted,+0.10,-537606.8328160462,-16.62469106199933,-6
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.125,ltv_targeted,+0.10,-3.1810821862891316,-30.88328574359457,-1
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.1,ltv_targeted,+0.10,-383.6523215547204,0.0,-1
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.075,ltv_targeted,+0.10,0.0,0.0,0
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.05,ltv_targeted,+0.10,0.0,0.0,0
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.025,ltv_targeted,+0.10,0.0,0.0,0
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.4,ltv_targeted,+0.10,0.0,0.0,0
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.375,ltv_targeted,+0.10,0.0,0.0,0
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.35,ltv_targeted,+0.10,0.0,0.0,0
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.325,ltv_targeted,+0.10,0.0,0.0,0
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.3,ltv_targeted,+0.10,0.0,0.0,0
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.275,ltv_targeted,+0.10,0.0,0.0,0
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.25,ltv_targeted,+0.10,0.0,0.0,0
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.225,ltv_targeted,+0.10,0.0,0.0,0
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.2,ltv_targeted,+0.10,0.0,0.0,0
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.175,ltv_targeted,+0.10,0.0,0.0,0
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.15,ltv_targeted,+0.10,0.0,0.0,0
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.125,ltv_targeted,+0.10,0.0,0.0,0
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.1,ltv_targeted,+0.10,0.0,0.0,0
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.075,ltv_targeted,+0.10,0.0,0.0,0
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.05,ltv_targeted,+0.10,0.0,0.0,0
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.025,ltv_targeted,+0.10,0.0,0.0,0
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.4,ltv_targeted,+0.10,-2644.1356423972175,0.0,-1
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.375,ltv_targeted,+0.10,-2644.1356423972175,0.0,-1
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.35,ltv_targeted,+0.10,-2591.768037913367,0.0,-1
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.325,ltv_targeted,+0.10,2.0588671918958426,-301.73076985008083,0
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.3,ltv_targeted,+0.10,-9193.269112644717,-7036.700256291777,-5
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.275,ltv_targeted,+0.10,-182502.2030675877,-12304.881149255205,-4
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.25,ltv_targeted,+0.10,-190652.2676228918,-2376.1067930341233,-5
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.225,ltv_targeted,+0.10,-38155.25115851313,-2831.3378288159147,-2
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.2,ltv_targeted,+0.10,-800.1058894954622,-40019.88850305579,-1
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.175,ltv_targeted,+0.10,-441289.5741874855,-32023.03954015358,-6
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.15,ltv_targeted,+0.10,-420534.6652068128,-26686.000359031575,-5
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.125,ltv_targeted,+0.10,-126317.48818814312,-18.1226400671585,-4
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.1,ltv_targeted,+0.10,-15.470922794309445,-20.133066915961535,0
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.075,ltv_targeted,+0.10,-373.44332599896006,0.0,-1
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.05,ltv_targeted,+0.10,0.0,0.0,0
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.025,ltv_targeted,+0.10,0.0,0.0,0
0x68749665ff8d2d112fa859aa293f07a622782f38,-0.4,ltv_targeted,+0.10,0.0,0.0,0
0x68749665ff8d2d112fa859aa293f07a622782f38,-0.375,ltv_targeted,+0.10,0.0,0.0,0
0x68749665ff8d2d112fa859aa293f07a622782f38,-0.35,ltv_targeted,+0.10,0.0,0.0,0
0x68749665ff8d2d112fa859aa293f07a622782f38,-0.325,ltv_targeted,+0.10,0.0,0.0,0
0x68749665ff8d2d112fa859aa293f07a622782f38,-0.3,ltv_targeted,+0.10,0.0,0.0,0
0x68749665ff8d2d112fa859aa293f07a622782f38,-0.275,ltv_targeted,+0.10,0.0,0.0,0
