reserve_id,chain_id,protocol_type,asset_address,asset_symbol,asset_decimals,total_supply_shares,total_borrow_shares,interest_accumulator,reserve_factor,irm_id,product,supply_cap,borrow_cap,max_liquidation_discount,liquidation_cooloff_time
0xE067311975278b7e7b81Bf57d2a9e58E3eaD75b4,1,euler_v2,0x545A490f9ab534AdF409A2E682bc4098f49952e3,PT-cUSD-29JAN2026,18,908281.7691884432,0.0,1.0,0.0,,euler-yield,12000000.0,inf,0.15,1
0xE0c1bdab9A7d487c4fEcd402cb9b4f8B347e73c3,1,euler_v2,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,6,10.007472,0.0,1.0174022144909485,0.0,0xAF985E745047Dbb28eBA39ea56b5168A6C559465,apostro-btc-cluster,inf,inf,0.15,1
0xE27A96f4c9528e3d32E6f31c6aCa9281EbEA0338,1,euler_v2,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,6,34470.843401,18.619206089015417,1.0752412375875684,0.0,0x8DAe13b605E57855042ba034458e4d7cf848D0A5,openeden,inf,inf,0.15,1
0xE27dC1Bdc3F47E44DdA0B90901F3ee61E43Ffe77,1,euler_v2,0x66a1E37c9b0eAddca17d3662D6c05F4DECf3e110,USR,18,0.0,0.0,1.0,0.0,0x883C6c92E10d731c3dca7EefCFE6f8254108ecAB,horizon-clearstar,15000000.0,13500000.0,0.15,1
0xE3Bc2926178721668b2C02e7214Fc6c4dbbE4293,1,euler_v2,0x6cA4d5d2eCb72E3Bbf17543B3367746B80D22694,PT-LBTC-26JUN2025,8,0.0,0.0,1.0,0.0,,,inf,inf,0.0,0
0xE3ea69f8661FFac04E269f99C14ba73e2Bb10633,1,euler_v2,0xbf5495Efe5DB9ce00f80364C8B423567e58d2110,ezETH,18,180.0688203160046,0.0,1.0,0.0,,mev-capital-weth,3000.0,inf,0.0,0
0xE415952f5ee06f8A548F4f7D5bE18FBf144b4E4D,1,euler_v2,0xAB365C0879024481E4ad3b47bd6FeA9c10014FbC,PT-sUSDf-25SEP2025,18,14172.547639936782,0.0,1.0,0.0,,frontier-falcon,inf,inf,0.15,1
0xE4199EAE6a51fd4F26f998049F9ad945b2eBD4d9,1,euler_v2,0xD9A442856C234a39a81a089C06451EBAa4306a72,pufETH,18,0.0,0.0,1.0,0.0,,,inf,inf,0.0,0
0xE43a41f3DeC91421b400ba0b6A6D19B78A96f4D4,1,euler_v2,0x9D39A5DE30e57443BfF2A8307A4256c8797A3497,sUSDe,18,0.0,0.0,1.0,0.0,,,80000000.0,0.0,0.0,2
0xE5b9686c0cc4Be8a47eb4ed265d4203EA8232f94,1,euler_v2,0xdAC17F958D2ee523a2206206994597C13D831ec7,USDT,6,47.884635,0.0,1.1397865853185989,0.1,0xc98b532a4Ed05862eDd7886CaCC5EE2bDE623F0C,alterscope-ascend,inf,inf,0.13,1
0xE619F7dBcEc4d8eB1a883Ab03b5Fa08D05aC0aFD,1,euler_v2,0xD11c452fc99cF405034ee446803b6F6c1F6d5ED8,tETH,18,0.0,0.0,1.0,0.0,,,inf,inf,0.0,0
0xE668c3F45D126A72cf696Ff46054918Cf1337786,1,euler_v2,0x865377367054516e17014CcdED1e7d814EDC9ce4,DOLA,18,0.0,0.0,1.0074605857486418,0.0,0x66d56E8Acad6a8fb6914753317cD3277D458E540,frontier-inverse,inf,inf,0.15,1
0xE886Eb92f5Fd4977a1A21a943f4d474C0c88e5ff,1,euler_v2,0x1132065009850C72E27B7950C0f9285d1D103589,PT-mMEV-31JUL2025,6,0.0,0.0,1.0,0.0,,,inf,inf,0.15,1
0xE88e44C2C7dfc9bcb86e380d29375ccD6cd85406,1,euler_v2,0xbf5495Efe5DB9ce00f80364C8B423567e58d2110,ezETH,18,137.14067510877288,0.013386653032419,1.0033629235989827,0.0,0x3182ddB461934E312eEC21035324243648DdfcD7,euler-prime,9750.0,2340.0,0.15,1
