asset,shock,family,level,d_liquidated_usd,d_bad_debt_usd,d_liqs
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.4,bonus,0.12,1.0587620362639427,-85681.47951624915,0
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.375,bonus,0.12,136.40113868005574,-92924.87231263868,0
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.35,bonus,0.12,23.08834738098085,-81615.64064746723,0
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.325,bonus,0.12,2057.079998324625,-87271.3854746581,0
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.3,bonus,0.12,-373.0555758988485,-88838.48011593684,0
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.275,bonus,0.12,1049.0961956335232,-70639.92401986872,0
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.25,bonus,0.12,415.4040298387408,-68150.1243885567,0
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.225,bonus,0.12,252.55071428837255,-48713.232895922265,0
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.2,bonus,0.12,1401.179323188495,-48439.05174178089,0
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.175,bonus,0.12,42.64763928949833,-9097.381903222005,0
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.15,bonus,0.12,61.53877294436097,-1932.9714734432164,0
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.125,bonus,0.12,3.030389429652132,-749.7264892542516,0
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.1,bonus,0.12,0.0,0.0,0
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.075,bonus,0.12,0.0,0.0,0
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.05,bonus,0.12,0.0,0.0,0
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.025,bonus,0.12,0.0,0.0,0
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.4,bonus,0.12,0.0,0.0,0
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.375,bonus,0.12,0.0,0.0,0
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.35,bonus,0.12,0.0,0.0,0
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.325,bonus,0.12,0.0,0.0,0
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.3,bonus,0.12,0.0,0.0,0
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.275,bonus,0.12,0.0,0.0,0
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.25,bonus,0.12,0.0,0.0,0
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.225,bonus,0.12,0.0,0.0,0
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.2,bonus,0.12,0.0,0.0,0
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.175,bonus,0.12,0.0,0.0,0
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.15,bonus,0.12,0.0,0.0,0
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.125,bonus,0.12,0.0,0.0,0
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.1,bonus,0.12,0.0,0.0,0
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.075,bonus,0.12,0.0,0.0,0
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.05,bonus,0.12,0.0,0.0,0
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.025,bonus,0.12,0.0,0.0,0
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.4,bonus,0.12,82.927387886215,-75626.81353930291,0
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.375,bonus,0.12,83.88625929690897,-79119.01849970268,0
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.35,bonus,0.12,1.2832686570473015,-83323.14882400446,0
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.325,bonus,0.12,145.13231790531427,-86471.82716287696,0
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.3,bonus,0.12,-731.4185198247433,-86684.81100861146,0
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.275,bonus,0.12,1279.310509622097,-77819.53528654901,0
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.25,bonus,0.12,332.9885651106015,-81071.25548652397,0
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.225,bonus,0.12,865.8071284368634,-74420.75209556252,0
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.2,bonus,0.12,54.06179576879367,-65641.5365036591,0
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.175,bonus,0.12,1211.2004017252475,-56382.9397596622,0
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.15,bonus,0.12,45.109714578837156,-3482.3779620137648,0
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.125,bonus,0.12,37.192614562110975,-1126.485160146578,0
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.1,bonus,0.12,0.0,-0.00031465699430555105,0
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.075,bonus,0.12,0.0,0.0,0
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.05,bonus,0.12,0.0,0.0,0
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.025,bonus,0.12,0.0,0.0,0
0x68749665ff8d2d112fa859aa293f07a622782f38,-0.4,bonus,0.12,0.0,0.0,0
0x68749665ff8d2d112fa859aa293f07a622782f38,-0.375,bonus,0.12,0.0,0.0,0
0x68749665ff8d2d112fa859aa293f07a622782f38,-0.35,bonus,0.12,0.0,0.0,0
0x68749665ff8d2d112fa859aa293f07a622782f38,-0.325,bonus,0.12,0.0,0.0,0
0x68749665ff8d2d112fa859aa293f07a622782f38,-0.3,bonus,0.12,0.0,0.0,0
0x68749665ff8d2d112fa859aa293f07a622782f38,-0.275,bonus,0.12,0.0,0.0,0
0x68749665ff8d2d112fa859aa293f07a622782f38,-0.25,bonus,0.12,0.0,0.0,0
0x68749665ff8d2d112fa859aa293f07a622782f38,-0.225,bonus,0.12,0.0,0.0,0
0x68749665ff8d2d112fa859aa293f07a622782f38,-0.2,bonus,0.12,0.0,0.0,0
0x68749665ff8d2d112fa859aa293f07a622782f38,-0.175,bonus,0.12,0.0,0.0,0
0x68749665ff8d2d112fa859aa293f07a622782f38,-0.15,bonus,0.12,0.0,0.0,0
0x68749665ff8d2d112fa859aa293f07a622782f38,-0.125,bonus,0.12,0.0,0.0,0
0x68749665ff8d2d112fa859aa293f07a622782f38,-0.1,bonus,0.12,0.0,0.0,0
0x68749665ff8d2d112fa859aa293f07a622782f38,-0.075,bonus,0.12,0.0,0.0,0
0x68749665ff8d2d112fa859aa293f07a622782f38,-0.05,bonus,0.12,0.0,0.0,0
0x68749665ff8d2d112fa859aa293f07a622782f38,-0.025,bonus,0.12,0.0,0.0,0
0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,-0.4,bonus,0.12,105.32024289201945,-50737.51662426116,0
0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,-0.375,bonus,0.12,29.36386178713292,-46014.89673388144,0
0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,-0.35,bonus,0.12,441.1228549173102,-33358.39052965061,0
0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,-0.325,bonus,0.12,200.92582411319017,-34318.02449353819,0
0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,-0.3,bonus,0.12,-992.1037984378636,-32726.703618615982,0
0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,-0.275,bonus,0.12,-1053.4923020624556,-19055.069057746936,0
0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,-0.25,bonus,0.12,179.70396834472194,-16806.498296312508,0
0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,-0.225,bonus,0.12,32.859573940047994,-8452.986872387373,0
0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,-0.2,bonus,0.12,178.73893844056875,-5544.765269435098,0
0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,-0.175,bonus,0.12,3.932533653220162,-3062.1983385674284,0
0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,-0.15,bonus,0.12,0.16597340715816244,-365.19723352364326,0
0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,-0.125,bonus,0.12,2.2070500676345546,-389.08076546555344,0
0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,-0.1,bonus,0.12,0.0,0.0,0
0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,-0.075,bonus,0.12,0.0,0.0,0
0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,-0.05,bonus,0.12,0.0,0.0,0
0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,-0.025,bonus,0.12,0.0,0.0,0
0x80ac24aa929eaf5013f6436cda2a7ba190f5cc0b,-0.4,bonus,0.12,2.569647941738367,-667.4817333608298,0
0x80ac24aa929eaf5013f6436cda2a7ba190f5cc0b,-0.375,bonus,0.12,1.865072786808014,-401.9852203289338,0
0x80ac24aa929eaf5013f6436cda2a7ba190f5cc0b,-0.35,bonus,0.12,0.6622090861201286,-120.38599962127046,0
0x80ac24aa929eaf5013f6436cda2a7ba190f5cc0b,-0.325,bonus,0.12,0.0,0.0,0
0x80ac24aa929eaf5013f6436cda2a7ba190f5cc0b,-0.3,bonus,0.12,0.0,0.0,0
0x80ac24aa929eaf5013f6436cda2a7ba190f5cc0b,-0.275,bonus,0.12,0.0,0.0,0
0x80ac24aa929eaf5013f6436cda2a7ba190f5cc0b,-0.25,bonus,0.12,0.0,0.0,0
0x80ac24aa929eaf5013f6436cda2a7ba190f5cc0b,-0.225,bonus,0.12,0.0,0.0,0
0x80ac24aa929eaf5013f6436cda2a7ba190f5cc0b,-0.2,bonus,0.12,0.0,0.0,0
0x80ac24aa929eaf5013f6436cda2a7ba190f5cc0b,-0.175,bonus,0.12,0.0,0.0,0
0x80ac24aa929eaf5013f6436cda2a7ba190f5cc0b,-0.15,bonus,0.12,0.0,0.0,0
0x80ac24aa929eaf5013f6436cda2a7ba190f5cc0b,-0.125,bonus,0.12,0.0,0.0,0
0x80ac24aa929eaf5013f6436cda2a7ba190f5cc0b,-0.1,bonus,0.12,0.0,0.0,0
0x80ac24aa929eaf5013f6436cda2a7ba190f5cc0b,-0.075,bonus,0.12,0.0,0.0,0
0x80ac24aa929eaf5013f6436cda2a7ba190f5cc0b,-0.05,bonus,0.12,0.0,0.0,0
0x80ac24aa929eaf5013f6436cda2a7ba190f5cc0b,-0.025,bonus,0.12,0.0,0.0,0
0x8236a87084f8b84306f72007f36f2618a5634494,-0.4,bonus,0.12,382.8105450961739,-85248.51701419614,0
0x8236a87084f8b84306f72007f36f2618a5634494,-0.375,bonus,0.12,-225.29188766516745,-74227.37037182972,0
0x8236a87084f8b84306f72007f36f2618a5634494,-0.35,bonus,0.12,992.5818048203364,-67781.16773296648,0
0x8236a87084f8b84306f72007f36f2618a5634494,-0.325,bonus,0.12,488.0508717633784,-65202.20972741768,0
0x8236a87084f8b84306f72007f36f2618a5634494,-0.3,bonus,0.12,-74.81654292950407,-52690.03101953649,0
0x8236a87084f8b84306f72007f36f2618a5634494,-0.275,bonus,0.12,1212.2700305082835,-48251.587971311936,0
0x8236a87084f8b84306f72007f36f2618a5634494,-0.25,bonus,0.12,202.3293953873217,-24570.89859851863,0
0x8236a87084f8b84306f72007f36f2618a5634494,-0.225,bonus,0.12,31.646038211882114,-5210.834315042463,0
0x8236a87084f8b84306f72007f36f2618a5634494,-0.2,bonus,0.12,103.1624506530352,-2678.6086487574357,0
0x8236a87084f8b84306f72007f36f2618a5634494,-0.175,bonus,0.12,7.382316262461245,-725.695404657482,0
0x8236a87084f8b84306f72007f36f2618a5634494,-0.15,bonus,0.12,1.5165606879163533,-272.27790868662623,0
0x8236a87084f8b84306f72007f36f2618a5634494,-0.125,bonus,0.12,0.0,0.0,0
0x8236a87084f8b84306f72007f36f2618a5634494,-0.1,bonus,0.12,0.0,0.0,0
0x8236a87084f8b84306f72007f36f2618a5634494,-0.075,bonus,0.12,0.0,0.0,0
0x8236a87084f8b84306f72007f36f2618a5634494,-0.05,bonus,0.12,0.0,0.0,0
0x8236a87084f8b84306f72007f36f2618a5634494,-0.025,bonus,0.12,0.0,0.0,0
0x8292bb45bf1ee4d140127049757c2e0ff06317ed,-0.4,bonus,0.12,0.0,0.0,0
0x8292bb45bf1ee4d140127049757c2e0ff06317ed,-0.375,bonus,0.12,0.0,0.0,0
0x8292bb45bf1ee4d140127049757c2e0ff06317ed,-0.35,bonus,0.12,0.0,0.0,0
0x8292bb45bf1ee4d140127049757c2e0ff06317ed,-0.325,bonus,0.12,0.0,0.0,0
0x8292bb45bf1ee4d140127049757c2e0ff06317ed,-0.3,bonus,0.12,0.0,0.0,0
0x8292bb45bf1ee4d140127049757c2e0ff06317ed,-0.275,bonus,0.12,0.0,0.0,0
0x8292bb45bf1ee4d140127049757c2e0ff06317ed,-0.25,bonus,0.12,0.0,0.0,0
0x8292bb45bf1ee4d140127049757c2e0ff06317ed,-0.225,bonus,0.12,0.0,0.0,0
0x8292bb45bf1ee4d140127049757c2e0ff06317ed,-0.2,bonus,0.12,0.0,0.0,0
0x8292bb45bf1ee4d140127049757c2e0ff06317ed,-0.175,bonus,0.12,0.0,0.0,0
0x8292bb45bf1ee4d140127049757c2e0ff06317ed,-0.15,bonus,0.12,0.0,0.0,0
0x8292bb45bf1ee4d140127049757c2e0ff06317ed,-0.125,bonus,0.12,0.0,0.0,0
0x8292bb45bf1ee4d140127049757c2e0ff06317ed,-0.1,bonus,0.12,0.0,0.0,0
0x8292bb45bf1ee4d140127049757c2e0ff06317ed,-0.075,bonus,0.12,0.0,0.0,0
0x8292bb45bf1ee4d140127049757c2e0ff06317ed,-0.05,bonus,0.12,0.0,0.0,0
0x8292bb45bf1ee4d140127049757c2e0ff06317ed,-0.025,bonus,0.12,0.0,0.0,0
0x9d39a5de30e57443bff2a8307a4256c8797a3497,-0.4,bonus,0.12,6.87860401161015,-3667.577833820251,0
0x9d39a5de30e57443bff2a8307a4256c8797a3497,-0.375,bonus,0.12,6.528886908665299,-2569.666000296187,0
0x9d39a5de30e57443bff2a8307a4256c8797a3497,-0.35,bonus,0.12,2.0431434269994497,-2080.6812405983364,0
0x9d39a5de30e57443bff2a8307a4256c8797a3497,-0.325,bonus,0.12,0.27759611792862415,-1293.2825774517405,0
0x9d39a5de30e57443bff2a8307a4256c8797a3497,-0.3,bonus,0.12,0.0,-1199.165023703863,0
0x9d39a5de30e57443bff2a8307a4256c8797a3497,-0.275,bonus,0.12,0.0,-1238.7916702663806,0
0x9d39a5de30e57443bff2a8307a4256c8797a3497,-0.25,bonus,0.12,0.0,-1279.0626055204975,0
0x9d39a5de30e57443bff2a8307a4256c8797a3497,-0.225,bonus,0.12,0.0,-571.2448969561501,0
0x9d39a5de30e57443bff2a8307a4256c8797a3497,-0.2,bonus,0.12,0.0,0.0,0
0x9d39a5de30e57443bff2a8307a4256c8797a3497,-0.175,bonus,0.12,0.0,0.0,0
