asset,shock,mode,family,level,tvl_initial,tvl_final,total_liquidations,total_liquidated_value_usd,final_bad_debt_usd,liquidation_efficiency
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.4,Agent,bonus,0.12,57998247.29866249,57998247.29866249,105,4118446.805970284,2402595.9486867418,0.18268218278798484
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.375,Agent,bonus,0.12,60419772.04699202,60419772.04699202,104,4506282.546519416,2094710.7950251957,0.22363769007082693
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.35,Agent,bonus,0.12,63143935.68986642,63143935.68986642,98,4723298.792866856,1779084.8291630123,0.2821010005169765
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.325,Agent,bonus,0.12,65904793.7113532,65904793.7113532,90,4986778.360830894,1504379.7512143443,0.3069167857083477
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.3,Agent,bonus,0.12,69713000.45160894,69713000.45160894,81,4310456.29887953,1246206.1725545577,0.36953629681531797
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.275,Agent,bonus,0.12,72676686.7398966,72676686.7398966,76,4610663.252236203,980102.6186973783,0.4663224921668465
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.25,Agent,bonus,0.12,76488975.10299914,76488975.10299914,72,4134436.945846208,765908.8379144239,0.539287989735103
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.225,Agent,bonus,0.12,80043276.28261755,80043276.28261755,62,4047422.831005055,544568.6372092657,0.7338294384623258
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.2,Agent,bonus,0.12,83749078.75623555,83749078.75623555,55,3920783.031777436,335431.415033525,0.9887189017565221
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.175,Agent,bonus,0.12,88384969.1145267,88384969.1145267,40,2926534.219811166,187893.90906571315,1.4406381649047606
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.15,Agent,bonus,0.12,92164052.45531252,92164052.45531252,31,2933612.3433325132,19915.07325815601,8.567147115442749
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.125,Agent,bonus,0.12,97963065.17584437,97963065.17584437,20,892734.3096170897,4041.6030838304096,7.440044049960412
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.1,Agent,bonus,0.12,101865207.08945903,101865207.08945903,15,859678.5113088586,1295.2925619814066,8.647058873849044
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.075,Agent,bonus,0.12,106680821.57578386,106680821.57578386,6,35777.71047307944,0.0,1.0
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.05,Agent,bonus,0.12,110814184.94057356,110814184.94057356,3,16909.81782218103,1.5089307637383857,67.23345547295919
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.025,Agent,bonus,0.12,115069199.10980041,115069199.10980041,1,463.5400327038099,9.18670544247448,1.7435468246003967
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.4,Agent,bonus,0.12,118557573.58364384,118557573.58364384,2,483.50481149712516,11.156875256466316,1.5657574374413024
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.375,Agent,bonus,0.12,118611984.67540513,118611984.67540513,2,483.8698735344568,11.53292527109561,1.5310022654804871
