asset,shock,mode,tvl_initial,tvl_final,total_liquidations,total_liquidated_value_usd,final_bad_debt_usd,liquidation_efficiency
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,-0.1,Agent,105675064.5256843,105675064.5256843,9,697296.5412738232,0.0,1.0
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,-0.1,UB,112593428.18564735,112592954.130858,2,473.09670894592307,,
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,-0.05,Agent,112747410.26128125,112747410.26128125,2,473.9169756946013,1.6797795244009772,0.07206194252023934
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,-0.05,UB,116012877.08977023,116012399.1705811,2,468.7858565984972,,
0xdac17f958d2ee523a2206206994597c13d831ec7,-0.1,Agent,106101076.98209554,106101076.98209554,7,748379.5057019416,0.0,1.0
0xdac17f958d2ee523a2206206994597c13d831ec7,-0.1,UB,112881614.62958351,111659882.50599648,3,1221732.123587008,,
0xdac17f958d2ee523a2206206994597c13d831ec7,-0.05,Agent,113010796.76749241,113010796.76749241,1,456.1677219663958,0.0,1.0
0xdac17f958d2ee523a2206206994597c13d831ec7,-0.05,UB,116156970.3117383,116156488.99113742,2,474.83556332436757,,
