asset,shock,ub_liquidated_usd,ub_liqs,ag_liquidated_usd,ag_liqs,ag_bad_debt,ag_eff
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,-0.1,473.09670894592307,2,697296.5412738232,9,0.0,1.0
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,-0.05,468.7858565984972,2,473.9169756946013,2,1.6797795244009772,7.206194252023934
0xdac17f958d2ee523a2206206994597c13d831ec7,-0.1,1221732.123587008,3,748379.5057019416,7,0.0,1.0
0xdac17f958d2ee523a2206206994597c13d831ec7,-0.05,474.83556332436757,2,456.1677219663958,1,0.0,1.0
