asset,shock,family,level,d_liquidated_usd,d_bad_debt_usd,d_liqs
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.4,bonus,0.05,-5203.838906783611,-307012.9717656118,0
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.375,bonus,0.05,-979.7881527747959,-330404.2104341816,0
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.35,bonus,0.05,-29213.116467683576,-312715.45349982893,0
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.325,bonus,0.05,2994.1968300277367,-310154.58209312474,0
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.3,bonus,0.05,-6748.253761268221,-323924.6860502112,0
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.275,bonus,0.05,-20235.262381797656,-275561.2876391277,0
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.25,bonus,0.05,-2887.879895470571,-273519.1947067103,0
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.225,bonus,0.05,-8514.309108791407,-240623.90475372953,0
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.2,bonus,0.05,-5225.505877020769,-186051.96629026948,0
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.175,bonus,0.05,-18890.91516317427,-120322.95060171066,0
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.15,bonus,0.05,-27581.775798930787,-15189.936071159344,0
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.125,bonus,0.05,-3345.166877136915,-3082.218659996542,0
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.1,bonus,0.05,-493.0282853640383,-1289.4508449120335,0
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.075,bonus,0.05,-145.69834027873003,0.0,0
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.05,bonus,0.05,0.0,0.0,0
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.025,bonus,0.05,0.0,0.0,0
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.4,bonus,0.05,0.0,0.0,0
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.375,bonus,0.05,0.0,0.0,0
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.35,bonus,0.05,0.0,0.0,0
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.325,bonus,0.05,0.0,0.0,0
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.3,bonus,0.05,0.0,0.0,0
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.275,bonus,0.05,0.0,0.0,0
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.25,bonus,0.05,0.0,0.0,0
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.225,bonus,0.05,0.0,0.0,0
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.2,bonus,0.05,0.0,0.0,0
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.175,bonus,0.05,0.0,0.0,0
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.15,bonus,0.05,0.0,0.0,0
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.125,bonus,0.05,0.0,0.0,0
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.1,bonus,0.05,0.0,0.0,0
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.075,bonus,0.05,0.0,0.0,0
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.05,bonus,0.05,0.0,0.0,0
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.025,bonus,0.05,0.0,0.0,0
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.4,bonus,0.05,-10590.643117531203,-269790.4087156616,0
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.375,bonus,0.05,235.72136842552572,-282058.25679407595,0
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.35,bonus,0.05,-2473.4486713297665,-296303.6887987021,0
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.325,bonus,0.05,-12534.264437476173,-308920.8177335835,0
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.3,bonus,0.05,-18778.003722153604,-314228.2401236114,0
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.275,bonus,0.05,-3642.7996554784477,-287347.39997136896,0
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.25,bonus,0.05,-4161.6164572304115,-295213.332015801,0
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.225,bonus,0.05,-115.43601668719202,-274875.0547001513,0
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.2,bonus,0.05,-2082.1061279424466,-268219.6414475077,0
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.175,bonus,0.05,-6899.430607966613,-209921.54413709647,0
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.15,bonus,0.05,-18865.84360403614,-116457.88344211901,0
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.125,bonus,0.05,-3369.677306634607,-25894.8089076171,0
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.1,bonus,0.05,-1064.7254003421403,-6954.2381305939925,0
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.075,bonus,0.05,-195.27279318508226,-3.079909784779389,0
