asset,shock,user_id,liquidated_value_usd_env,bad_debt_usd_env
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,-0.05,0xA2C3e2C6F55c3Dd8d5Fe66606Acf1b308a977a17,0.8840303818112767,0.0
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,-0.05,0xf8DEe9cB3E72446d9CC9429A22e893f8feb2A9bd,467.90182621668595,9.133332522547676
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,-0.1,0x521E14Df95023E117b7904d54b2476Fcfbf6F469,25.73037202407605,0.0
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,-0.1,0xf8DEe9cB3E72446d9CC9429A22e893f8feb2A9bd,447.366336921847,0.9580804074568389
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,-0.15,0x3EEe3Ecb00AAf1806B0b96f71A98CCBEf647Aaf5,5462.4952912861245,0.0
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,-0.15,0x3Eee3EcB00aaf1806b0B96F71a98CcBEF647aAF6,11470.22010591041,0.0
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,-0.15,0x521E14Df95023E117b7904d54b2476Fcfbf6F469,25.928178044131975,0.0
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,-0.15,0xf5f3bD446f95799390BEf1e7b1a90b99fb41AaB9,0.014811687844599351,0.0
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,-0.15,0xf8DEe9cB3E72446d9CC9429A22e893f8feb2A9bd,419.339413399213,0.0
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,-0.2,0x3EEe3Ecb00AAf1806B0b96f71A98CCBEf647Aaf5,5707.139176155841,0.0
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,-0.2,0x3Eee3EcB00aaf1806b0B96F71a98CcBEF647aAF6,11987.12720515767,0.0
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,-0.2,0x521E14Df95023E117b7904d54b2476Fcfbf6F469,26.125984064187886,0.0
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,-0.2,0xB16e0dd6B53F6263C76E4a5c70825AA8526F058c,8.772393659359992,0.0
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,-0.2,0xa47C9dafD2f96513380F9188071BBe1537438b69,373.13255262348105,0.0
