asset,shock,mode,family,level,tvl_initial,tvl_final,total_liquidations,total_liquidated_value_usd,final_bad_debt_usd,liquidation_efficiency
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.4,Agent,bonus,0.08,58123349.15635863,58123349.15635863,105,4117273.3593429644,2278667.5376179116,0.13356701938888701
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.375,Agent,bonus,0.08,60551679.9942674,60551679.9942674,104,4506307.531897353,1962777.8623718726,0.1664795109226569
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.35,Agent,bonus,0.08,63288094.7721971,63288094.7721971,98,4713622.7927844515,1644601.7469147516,0.21118808553793833
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.325,Agent,bonus,0.08,66025840.491558686,66025840.491558686,90,4989681.621883386,1380429.7099563691,0.23930404015112253
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.3,Agent,bonus,0.08,69846711.01319204,69846711.01319204,81,4307113.095984196,1115838.8138668097,0.28584914049290827
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.275,Agent,bonus,0.08,72793916.63945231,72793916.63945231,76,4609100.724533606,864435.2468442535,0.3848644582849425
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.25,Agent,bonus,0.08,76602028.21944016,76602028.21944016,72,4133858.1175970826,653434.5497225454,0.4495923518785167
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.225,Agent,bonus,0.08,80145582.95450029,80145582.95450029,62,4046491.693212833,443193.1031187848,0.6612629297071813
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.2,Agent,bonus,0.08,83817933.18850479,83817933.18850479,55,3922769.8895053873,264590.1250363241,0.9795143855343678
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.175,Agent,bonus,0.08,88453385.6778524,88453385.6778524,40,2918103.8808099604,127907.68474120762,1.5679050364034621
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,-0.15,Agent,bonus,0.08,92170677.88376871,92170677.88376871,31,2933731.192644471,13170.795490002165,12.43607064393171
